unspsc_code,unspsc_type,unspsc_title,unspsc_definition,cpv_match_1_code,cpv_match_1_name,cpv_match_2_code,cpv_match_2_name,cpv_match_3_code,cpv_match_3_name
23220000,Family,Chicken processing machinery and equipment,,42215000-6,Machinery for the industrial preparation or manufacture of food or drink,42200000-8,"Machinery for food, beverage and tobacco processing and associated parts",42210000-1,"Food, beverage and tobacco-processing machinery"
23230000,Family,Sawmilling and lumber processing machinery and equipment,,42642000-8,"Machine tools for working wood, bone, cork, hard rubber or hard plastics",51522000-7,Installation services of forestry machinery,03400000-4,Forestry and logging products
23240000,Family,Metal cutting machinery and accessories,"Machines that cut away chips and include (but are not limited to) broaching machines, drilling machines, electrical-discharge machines, gear cutting machines, grinders, machining centers, milling machines, transfer machines, and turning machines such as lathes.",42620000-8,"Lathes, boring and milling machine tools",42637000-0,"Machine tools for drilling, boring or milling metal",42637300-3,Machine tools for milling metal
23250000,Family,Metal forming machinery and accessories,"Metal forming machines typically squeeze metal into shape and include (but are not limited to) bending machines, cold-heading machines, presses, shears, coil slitters, and stamping machines.",42674000-1,Parts and accessories for metal-working machine tools,42633000-2,"Bending, folding, straightening or flattening machines",43700000-0,Machinery for metallurgy and associated parts
23260000,Family,Rapid prototyping machinery and accessories,Rapid prototyping is the name given to a host of related technologies that are used to fabricate physical objects directly from CAD data sources. These methods are unique in that they add and bond materials in layers to form objects. Objects can be formed with any geometric complexity or intricacy without the need for elaborate machine setup or final assembly.,42610000-5,Machine tools operated by laser and machining centres,42994000-0,Machinery for working rubber or plastics,44400000-4,Miscellaneous fabricated products and related items
23270000,Family,Welding and soldering and brazing machinery and accessories and supplies,"Welding, soldering, and brazing are fabrication processes that join materials, usually metals or thermoplastics, by causing coalescence. Welding is often done by melting the workpieces and adding a filler material to form a pool of molten material that cools to become a strong joint, but sometimes pressure is used in conjunction with heat, or by itself, to produce the weld. This is in contrast with soldering and brazing, which involve melting a lower-melting point material between the workpieces to form a bond.",42660000-0,"Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment",42661000-7,Soldering and brazing equipment,42662000-4,Welding equipment
23280000,Family,Metal treatment machinery,"Metal treatment is usually necessary to condition metals either before or after processing of any kind. Treatments may improve the product’s properties such as increasing durability or resisting corrosion, or greatly influence mechanical properties, such as strength, hardness, ductility, toughness, and wear resistance.",42660000-0,"Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment",42940000-7,Machinery for the heat treatment of materials,42631000-8,Machine tools for finishing metals
23290000,Family,Industrial machine tools,"A machine tool is a machine for handling or machining metal or other rigid materials, usually by cutting, boring, grinding, shearing, or other forms of deformations. Machine tools employ some sort of tool that does the cutting or shaping.",42620000-8,"Lathes, boring and milling machine tools",42637000-0,"Machine tools for drilling, boring or milling metal",42600000-2,Machine tools
23300000,Family,Wire machinery and equipment,Various types of machines and equipment used in the manufacture of wiring and wiring assemblies,42660000-0,"Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment",44310000-6,Wire products,44300000-3,"Cable, wire and related products"
23000000,Segment,Industrial Manufacturing and Processing Machinery and Accessories,"This segment includes the machines and accessories necessary to manufacture or process products or components. This segment also includes machinery and equipment for manufacturing and processing of food and beverages, textile, leathers and fabrics and, lapidary equipment",42700000-3,"Machinery for textile, apparel and leather production",42200000-8,"Machinery for food, beverage and tobacco processing and associated parts",42215000-6,Machinery for the industrial preparation or manufacture of food or drink
24100000,Family,Material handling machinery and equipment,,42414000-1,"Cranes, mobile lifting frames and works trucks fitted with a crane",42418000-9,"Lifting, handling, loading or unloading machinery",42420000-6,"Buckets, shovels, grabs and grips for cranes or excavators"
24110000,Family,Containers and storage,,44610000-9,"Tanks, reservoirs, containers and pressure vessels",34220000-5,"Trailers, semi-trailers and mobile containers",44613400-4,Storage containers
24120000,Family,Packaging materials,,22993400-1,Corrugated paper or paperboard,42921000-8,"Machinery for cleaning, filling, packing or wrapping bottles or other containers",42921300-1,Packing or wrapping machinery
24130000,Family,Industrial refrigeration,,39711124-4,Industrial freezers,42513000-5,Refrigerating and freezing equipment,42510000-4,"Heat-exchange units, air-conditioning and refrigerating equipment, and filtering machinery"
24140000,Family,Packing supplies,,18937100-7,Goods-packing bags,42921000-8,"Machinery for cleaning, filling, packing or wrapping bottles or other containers",30199500-5,"Box files, letter trays, storage boxes and similar articles"
